Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,Revenue of 2024,Price Category,Battery Effeciency (km/ kWh),Range Category,Autonous Level Coulumn,Unit Selling Category
1419,Geely,Geometry C,2024,Nickel-manganese-cobalt,102.9,233,Vehicle-to-Home (V2H),7.5,45221.98,Ice Silver,Spain,1,0,3,8335,5,376925203.3,Mid-Range,2,Mid-Range,Basic,High
1420,Faraday Future,FF 91,2023,Magnesium-ion,34.2,192,Level 1 Charging,4,95127.79,Champagne,Japan,5,0,3,7683,3,730866810.6,Premium,6,Low Range,Full,High
1421,Jeep,Recon (upcoming),2020,Solid-state,66.5,416,Level 2 Charging,2.4,86072.39,Matte White,Czech Republic,2,0,5,16497,4,1419936218,Premium,6,High Range,Intermediate,Very High
1422,Peugeot,e-2008,2023,Nickel-metal hydride,146.4,264,Vehicle-to-Grid (V2G),8.7,87339.11,Cream,Norway,3,0,3,19152,3,1672718635,Premium,2,Mid-Range,Advanced,Very High
1423,Byd,Seal,2018,Calcium-ion,121.4,547,Mobile Charging,9,39618.37,Matte Blue,Thailand,1,0,3,3482,5,137951164.3,Budget,5,High Range,Basic,Medium
1424,Porsche,Panamera EV,2025,Aluminum-ion,102.6,186,Solar Charging,5.6,96296.48,Metallic Silver,Israel,1,0,4,5555,3,534926946.4,Premium,2,Low Range,Basic,High
1425,Polestar,Polestar 4,2016,Lithium-sulfur,94.1,189,Level 1 Charging,9.6,102658.14,Ruby Red,Indonesia,5,0,4,8,4,821265.12,Premium,2,Low Range,Full,Very Low
1426,Pininfarina,Battista,2024,Sodium-ion,75.9,194,DC Fast Charging (DCFC),6,64204.84,Silver,Germany,4,0,3,18839,3,1209554981,Mid-Range,3,Low Range,Full,Very High
1427,Polestar,Polestar 4,2018,Lead-acid,100.5,168,NACS,3.9,85641.64,Green,Israel,0,0,3,17330,3,1484169621,Premium,2,Low Range,None,Very High
1428,Changan,Deepal S07,2025,Lithium-ion,61.6,243,Plug-in Hydrogen Refueling,1.8,112210.48,Tan,South Korea,3,0,3,17226,5,1932937728,Premium,4,Mid-Range,Advanced,Very High
1429,Fisker,Ocean,2015,Zinc-air,62.3,337,NACS,2.8,80839.11,Candy Apple Red,Vietnam,1,0,3,13446,3,1086962673,Premium,5,Mid-Range,Basic,Very High
1430,Tesla,Roadster (upcoming),2024,Lithium-sulfur,56.8,147,Vehicle-to-Grid (V2G),3.9,142642.95,Cosmic Purple,France,2,0,5,6443,4,919048526.9,Luxury,3,Low Range,Intermediate,High
1431,Porsche,Cayenne Electric (upcoming),2022,Flow batteries,136.3,367,Overhead Pantograph Charging,6,80426.79,Stealth Gray,Japan,5,0,4,5900,5,474518061,Premium,3,Mid-Range,Full,High
1432,Chevrolet,Volt (PHEV),2021,Magnesium-ion,29,267,Mobile Charging,1.7,96057.48,Black,Uk,3,0,3,9823,5,943572626,Premium,9,Mid-Range,Advanced,High
1433,Porsche,Taycan,2017,Lithium-sulfur,92.8,327,Solar Charging,3.6,62078.29,Navy Blue,Russia,2,0,3,16416,4,1019077209,Mid-Range,4,Mid-Range,Intermediate,Very High
1434,Ferrari,Roma PHEV,2022,Zinc-air,118.9,105,NACS,4.6,65210.63,Matte White,Argentina,3,0,5,18606,3,1213308982,Mid-Range,1,Low Range,Advanced,Very High
1435,Toyota,Lexus UX 300e,2022,Nickel-metal hydride,45.7,322,Battery Swapping,1.2,31450.55,White,Ireland,4,0,4,15784,5,496415481.2,Budget,7,Mid-Range,Full,Very High
1436,Toyota,bZ4X,2016,Nickel-cobalt-aluminum,114.4,220,Mobile Charging,9.5,102408.71,Titanium,Japan,1,0,4,14003,3,1434029166,Premium,2,Mid-Range,Basic,Very High
1437,Subaru,Solterra,2025,Flow batteries,73.4,148,Solar Charging,3.1,90622.66,Matte Black,Spain,3,0,3,17767,4,1610092800,Premium,2,Low Range,Advanced,Very High
1438,Genesis,GV80 Electric,2021,Lithium-sulfur,136.5,534,Vehicle-to-Home (V2H),2,135220.69,Stealth Gray,Austria,0,0,5,2855,5,386055070,Luxury,4,High Range,None,Medium
1439,Byd,Atto 3,2024,Zinc-air,24.4,130,CHAdeMO,5.7,140940.34,Pearl White,Singapore,0,0,3,14890,5,2098601663,Luxury,5,Low Range,None,Very High
1440,Lamborghini,Lanzador (upcoming EV),2015,Lithium-sulfur,146.9,286,Vehicle-to-Grid (V2G),9.2,81408.56,Pink,Japan,1,0,5,16685,3,1358301824,Premium,2,Mid-Range,Basic,Very High
1441,Rivian,R1T,2021,Nickel-manganese-cobalt,103.8,440,Inductive (Wireless) Charging,0.8,78546.18,Ice Silver,Canada,1,0,4,15577,5,1223513846,Mid-Range,4,High Range,Basic,Very High
1442,Genesis,GV80 Electric,2016,Zinc-air,22.1,362,Vehicle-to-Home (V2H),6.3,90848,Pink,Switzerland,2,0,3,12688,4,1152679424,Premium,16,Mid-Range,Intermediate,Very High
1443,Citroen,ë-C4,2024,Nickel-cobalt-aluminum,46.6,448,NACS,8.5,113231.94,Rose Gold,Turkey,3,0,5,10572,3,1197088070,Premium,10,High Range,Advanced,Very High
1444,Mini,Mini Aceman,2019,Zinc-air,37.9,524,CCS,8.5,37041.92,Ruby Red,United Arab Emirates,5,0,4,14509,3,537441217.3,Budget,14,High Range,Full,Very High
1445,Li Auto,MEGA,2018,Nickel-metal hydride,129.1,490,DC Fast Charging (DCFC),5.1,49543.12,Sky Blue,Usa,4,0,5,2624,5,130001146.9,Mid-Range,4,High Range,Full,Medium
1446,Ferrari,Ferrari EV (2025+),2017,Nickel-manganese-cobalt,35.6,178,Vehicle-to-Grid (V2G),8.6,145893.06,Navy Blue,Switzerland,1,0,3,17494,4,2552253192,Luxury,5,Low Range,Basic,Very High
1447,Canoo,Pickup,2024,Lithium-sulfur,42.3,400,Solar Charging,2.3,54749.62,Ice Silver,Israel,5,0,5,7779,4,425897294,Mid-Range,9,Mid-Range,Full,High
1448,Subaru,Solterra,2016,Lithium-sulfur,66.6,389,Vehicle-to-Grid (V2G),5.7,149266.07,Gun Metal,Norway,3,0,3,65,4,9702294.55,Luxury,6,Mid-Range,Advanced,Very Low
1449,Honda,Honda e (discontinued),2023,Nickel-metal hydride,144.6,239,Ultra-Fast Charging (350 kW+),7,91515.56,Navy Blue,Portugal,1,0,5,2468,4,225860402.1,Premium,2,Mid-Range,Basic,Medium
1450,Renault,Megane E-Tech,2021,Nickel-manganese-cobalt,85.3,574,Level 1 Charging,4.9,75228.62,Ruby Red,Portugal,5,0,5,19002,3,1429494237,Mid-Range,7,High Range,Full,Very High
1451,Kia,EV9,2025,Calcium-ion,52.8,495,CHAdeMO,10.9,108485.87,Green,Mexico,3,0,3,15596,3,1691945629,Premium,9,High Range,Advanced,Very High
1452,Cadillac,Lyriq,2021,Flow batteries,58.8,328,Level 2 Charging,2.8,91581.3,Matte White,Japan,0,0,5,5426,5,496920133.8,Premium,6,Mid-Range,None,High
1453,Li Auto,L8,2025,Calcium-ion,120.2,526,Solar Charging,10.2,69149.88,Black,Germany,4,0,4,18512,3,1280102579,Mid-Range,4,High Range,Full,Very High
1454,Genesis,G80 Electric,2025,Lithium-sulfur,31.5,314,Level 1 Charging,5.4,101080.36,Orange,Ireland,3,0,4,13308,4,1345177431,Premium,10,Mid-Range,Advanced,Very High
1455,Volkswagen,ID.3,2023,Lithium-ion,88.9,530,Level 1 Charging,3.3,44405.63,Blue,Norway,3,0,4,9195,4,408309767.9,Mid-Range,6,High Range,Advanced,High
1456,Rivian,R1S,2024,Nickel-cobalt-aluminum,101.9,194,Battery Swapping,4.3,92630.48,Platinum,Russia,0,0,4,4672,4,432769602.6,Premium,2,Low Range,None,Medium
1457,Mercedes-Benz,EQE SUV,2018,Nickel-cobalt-aluminum,97.6,399,DC Fast Charging (DCFC),11.3,48745.21,Crimson Red,Australia,0,0,5,14789,4,720892910.7,Mid-Range,4,Mid-Range,None,Very High
1458,Canoo,MPDV,2015,Lithium-iron phosphate,99.3,432,Vehicle-to-Home (V2H),0.5,140194.9,Copper,Belgium,1,0,4,1377,4,193048377.3,Luxury,4,High Range,Basic,Medium
1459,Fisker,Ocean,2021,Lithium-sulfur,85.2,140,Vehicle-to-Home (V2H),9.6,123466.14,Bronze,Germany,3,0,5,17917,3,2212142830,Luxury,2,Low Range,Advanced,Very High
1460,Jaguar,I-PACE,2024,Nickel-manganese-cobalt,149.8,227,Overhead Pantograph Charging,3.7,115476.02,Tan,Sweden,1,0,4,13213,4,1525784652,Premium,2,Mid-Range,Basic,Very High
1461,Cadillac,Optiq (upcoming),2023,Nickel-cobalt-aluminum,56.9,137,CHAdeMO,4.8,67249.43,Platinum,Russia,5,0,3,8407,3,565365958,Mid-Range,2,Low Range,Full,High
1462,Cadillac,Optiq (upcoming),2021,Nickel-metal hydride,41.6,310,CHAdeMO,0.6,80034.35,Red,Australia,4,0,4,12352,5,988584291.2,Premium,7,Mid-Range,Full,Very High
1463,Jeep,Grand Cherokee 4xe (PHEV),2024,Aluminum-ion,115.8,505,Ultra-Fast Charging (350 kW+),3,120179.48,Racing Red,New Zealand,3,0,4,14776,5,1775771996,Luxury,4,High Range,Advanced,Very High
1464,Porsche,Panamera EV,2021,Lithium-ion,59.1,226,Battery Swapping,6.5,35862.69,Cobalt Blue,Spain,1,0,5,6212,5,222779030.3,Budget,4,Mid-Range,Basic,High
1465,Hyundai,Ioniq 5,2017,Nickel-cobalt-aluminum,21.3,102,DC Fast Charging (DCFC),3.8,35960.44,Lime Green,Australia,1,0,3,9992,5,359316716.5,Budget,5,Low Range,Basic,High
1466,Genesis,GV70 Electric,2015,Calcium-ion,57,579,DC Fast Charging (DCFC),3,44185.05,Electric Blue,South Africa,3,0,5,15403,3,680582325.2,Mid-Range,10,High Range,Advanced,Very High
1467,Chevrolet,Equinox EV,2024,Lead-acid,76.5,267,Plug-in Hydrogen Refueling,3.9,119073.94,Lime Green,Italy,0,0,5,4958,3,590368594.5,Premium,3,Mid-Range,None,Medium
1468,Lotus,Eletre,2018,Sodium-ion,128.1,115,Vehicle-to-Load (V2L),11.9,81372.86,Cobalt Blue,France,2,0,3,18624,5,1515488145,Premium,1,Low Range,Intermediate,Very High
1469,Canoo,Lifestyle Vehicle,2025,Calcium-ion,68.1,373,CHAdeMO,10.6,40221.01,Lime Green,Argentina,0,0,3,17242,4,693490654.4,Mid-Range,5,Mid-Range,None,Very High
1470,Ferrari,Roma PHEV,2022,Nickel-metal hydride,118.5,433,Solar Charging,10.3,30807.31,Forest Green,Poland,0,0,3,6362,4,195996106.2,Budget,4,High Range,None,High
1471,Mini,Mini Aceman,2020,Calcium-ion,72.6,106,Level 2 Charging,6.2,89504.17,Ruby Red,Netherlands,3,0,3,13731,3,1228981758,Premium,1,Low Range,Advanced,Very High
1472,Citroen,Ami,2025,Nickel-metal hydride,145.6,175,Mobile Charging,10.1,119305.3,Matte Blue,Ireland,4,0,3,15060,3,1796737818,Premium,1,Low Range,Full,Very High
1473,Lucid Motors,Lucid Gravity,2017,Magnesium-ion,58.2,258,Battery Swapping,10.2,64393.34,Gun Metal,Usa,3,0,5,13630,3,877681224.2,Mid-Range,4,Mid-Range,Advanced,Very High
1474,Opel,Corsa-e,2020,Solid-state,140,553,Level 1 Charging,8.5,86452.32,Purple,China,4,0,3,18263,4,1578878720,Premium,4,High Range,Full,Very High
1475,Hyundai,Ioniq 7 (upcoming),2018,Flow batteries,41.6,375,Overhead Pantograph Charging,1.4,72201.03,Metallic Silver,Spain,3,0,4,16675,3,1203952175,Mid-Range,9,Mid-Range,Advanced,Very High
1476,Fisker,Pear (upcoming),2023,Lithium-titanate,30.3,477,CCS,4.2,130220.14,Gold,Portugal,4,0,5,3832,4,499003576.5,Luxury,16,High Range,Full,Medium
1477,Bmw,iX3,2022,Calcium-ion,81.5,125,Solar Charging,0.6,59499.59,Titanium,Usa,2,0,4,602,3,35818753.18,Mid-Range,2,Low Range,Intermediate,Low
1478,Cadillac,Optiq (upcoming),2023,Nickel-metal hydride,43.2,511,Level 1 Charging,8.3,100627.96,Cream,Netherlands,5,0,4,17825,5,1793693387,Premium,12,High Range,Full,Very High
1479,Xpeng,G9,2025,Lithium-titanate,116.7,437,Vehicle-to-Home (V2H),6.6,31493.71,Cream,Hungary,5,0,4,9256,5,291505779.8,Budget,4,High Range,Full,High
1480,Zeekr,Zeekr X,2018,Lithium-titanate,50.8,469,Vehicle-to-Grid (V2G),2,36659.25,Metallic Silver,Ireland,2,0,4,16620,3,609276735,Budget,9,High Range,Intermediate,Very High
1481,Citroen,ë-Spacetourer,2022,Lithium-ion,85.7,594,Vehicle-to-Load (V2L),11.9,35107.21,Pearl White,Japan,5,0,3,17722,5,622169975.6,Budget,7,High Range,Full,Very High
1482,Canoo,MPDV,2025,Aluminum-ion,147.3,543,Ultra-Fast Charging (350 kW+),1.4,53963.06,Rose Gold,Sweden,3,0,4,18138,4,978781982.3,Mid-Range,4,High Range,Advanced,Very High
1483,Lamborghini,Revuelto (PHEV),2020,Nickel-metal hydride,124,223,NACS,8.1,43372.61,Ruby Red,Thailand,3,0,5,5207,3,225841180.3,Mid-Range,2,Mid-Range,Advanced,High
1484,Nissan,Ariya,2018,Zinc-air,137.6,447,Level 1 Charging,6,144236.76,Turquoise,Portugal,5,0,5,4508,5,650219314.1,Luxury,3,High Range,Full,Medium
1485,Lucid Motors,Lucid Air,2022,Magnesium-ion,28.3,299,DC Fast Charging (DCFC),10,98675.39,Volcanic Yellow,Belgium,3,0,4,13375,3,1319783341,Premium,11,Mid-Range,Advanced,Very High
1486,Li Auto,L8,2018,Sodium-ion,111.4,395,Plug-in Hydrogen Refueling,11.1,73596.25,White,Italy,0,0,3,12254,4,901848447.5,Mid-Range,4,Mid-Range,None,Very High
1487,Canoo,MPDV,2022,Lithium-ion,48.1,298,Plug-in Hydrogen Refueling,1.1,141375.16,Blue,Thailand,3,0,3,12155,3,1718415070,Luxury,6,Mid-Range,Advanced,Very High
1488,Volkswagen,ID.Buzz,2023,Aluminum-ion,103.3,431,Vehicle-to-Grid (V2G),3.6,30961.71,Matte White,Israel,3,0,5,3875,3,119976626.3,Budget,4,High Range,Advanced,Medium
1489,Bmw,iX3,2018,Flow batteries,23.7,286,CHAdeMO,0.8,61475.08,Pearl White,Denmark,3,0,5,19577,4,1203497641,Mid-Range,12,Mid-Range,Advanced,Very High
1490,Volvo,XC40 Recharge,2024,Flow batteries,127.2,596,Plug-in Hydrogen Refueling,1,104793.72,Matte White,Vietnam,3,0,4,9675,5,1013879241,Premium,5,High Range,Advanced,High
1491,Rimac,Nevera,2019,Flow batteries,96.8,170,Level 2 Charging,4.2,119659.99,Gun Metal,Czech Republic,2,0,4,18266,3,2185709377,Premium,2,Low Range,Intermediate,Very High
1492,Acura,ZDX (with GM Ultium),2023,Zinc-air,70.6,422,Overhead Pantograph Charging,6.6,64007.22,Titanium,Czech Republic,3,0,3,19566,5,1252365267,Mid-Range,6,High Range,Advanced,Very High
1493,Byd,Tang EV,2016,Nickel-manganese-cobalt,100.1,126,Mobile Charging,8.5,75586.34,Forest Green,Indonesia,3,0,5,13862,3,1047777845,Mid-Range,1,Low Range,Advanced,Very High
1494,Geely,Geometry A,2019,Nickel-manganese-cobalt,132.3,178,Vehicle-to-Grid (V2G),10.9,78732.6,Gray,Denmark,0,0,3,12270,3,966049002,Mid-Range,1,Low Range,None,Very High
1495,Skoda,Enyaq,2016,Nickel-manganese-cobalt,50,471,DC Fast Charging (DCFC),5.4,127075.6,Purple,Vietnam,3,0,4,4225,3,536894410,Luxury,9,High Range,Advanced,Medium
1496,Honda,Honda Prologue,2016,Lithium-iron phosphate,51.9,267,Solar Charging,5.6,61841.79,Cosmic Purple,India,5,0,5,10481,5,648163801,Mid-Range,5,Mid-Range,Full,Very High
1497,Changan,Q05,2015,Sodium-ion,113.9,163,DC Fast Charging (DCFC),9.2,141888.71,Emerald Green,Singapore,3,0,5,13258,5,1881160517,Luxury,1,Low Range,Advanced,Very High
1498,Rivian,R1S,2020,Nickel-cobalt-aluminum,135.1,383,Ultra-Fast Charging (350 kW+),2.7,68672.3,Gun Metal,Russia,5,0,3,12263,5,842128414.9,Mid-Range,3,Mid-Range,Full,Very High
1499,Changan,SL03,2017,Lithium-iron phosphate,149.2,455,Vehicle-to-Load (V2L),10.2,126154.66,Green,Saudi Arabia,0,0,3,5372,3,677702833.5,Luxury,3,High Range,None,High
1500,Cadillac,Celestiq,2021,Nickel-manganese-cobalt,51.4,197,CHAdeMO,8.4,102444.53,Aurora Blue,Switzerland,1,0,4,9473,4,970457032.7,Premium,4,Low Range,Basic,High
1501,Chevrolet,Bolt EUV,2023,Aluminum-ion,37.3,222,NACS,9.9,142172.56,Sunset Orange,India,4,0,4,15512,3,2205380751,Luxury,6,Mid-Range,Full,Very High
1502,Gmc,Hummer EV Pickup,2018,Lithium-titanate,89.5,273,CHAdeMO,1,58595.82,Midnight Black,Germany,2,0,4,13870,5,812724023.4,Mid-Range,3,Mid-Range,Intermediate,Very High
1503,Lucid Motors,Lucid Air,2017,Lead-acid,56.3,170,Inductive (Wireless) Charging,11.6,89357.28,Red,Ireland,1,0,4,15835,4,1414972529,Premium,3,Low Range,Basic,Very High
1504,Canoo,Pickup,2016,Sodium-ion,129.6,453,Mobile Charging,2,76680.48,Candy Apple Red,Hungary,5,0,4,18058,3,1384696108,Mid-Range,3,High Range,Full,Very High
1505,Jaguar,I-PACE,2015,Lithium-titanate,128.2,503,Solar Charging,11.8,55613.29,Charcoal,Norway,3,0,3,4203,4,233742657.9,Mid-Range,4,High Range,Advanced,Medium
1506,Geely,Geometry C,2022,Lithium-iron phosphate,46.5,138,Vehicle-to-Grid (V2G),10.7,90747.84,Silver,Thailand,2,0,4,14514,3,1317114150,Premium,3,Low Range,Intermediate,Very High
1507,Rivian,EDV (Electric Delivery Van),2020,Lithium-ion,50.9,508,Level 2 Charging,4.4,67583.03,Sapphire Blue,Turkey,1,0,4,1231,5,83194709.93,Mid-Range,10,High Range,Basic,Medium
1508,Great Wall Motors,ORA Ballet Cat,2019,Lithium-titanate,27,559,Vehicle-to-Load (V2L),3.6,111047.7,Brown,New Zealand,2,0,4,4512,4,501047222.4,Premium,21,High Range,Intermediate,Medium
1509,Ferrari,SF90 Stradale (PHEV),2021,Calcium-ion,40.8,531,Level 2 Charging,3.3,78580.56,Cobalt Blue,Turkey,2,0,4,8597,4,675557074.3,Mid-Range,13,High Range,Intermediate,High
1510,Renault,Megane E-Tech,2019,Zinc-air,78.2,261,Vehicle-to-Load (V2L),7.9,55063.89,Matte Black,Switzerland,5,0,5,18819,5,1036247346,Mid-Range,3,Mid-Range,Full,Very High
1511,Dacia,Bigster EV (upcoming),2024,Magnesium-ion,30.1,406,Vehicle-to-Grid (V2G),0.9,118811.14,Purple,Hungary,3,0,5,6800,3,807915752,Premium,13,High Range,Advanced,High
1512,Canoo,Pickup,2021,Lithium-sulfur,48.1,167,Ultra-Fast Charging (350 kW+),11.7,60871.19,Beige,France,3,0,5,17487,5,1064454500,Mid-Range,3,Low Range,Advanced,Very High
1513,Audi,e-tron,2020,Zinc-air,57.5,577,Mobile Charging,3.1,31954.04,Ice Silver,China,3,0,3,4504,3,143920996.2,Budget,10,High Range,Advanced,Medium
1514,Canoo,MPDV,2023,Lithium-titanate,139,580,Vehicle-to-Load (V2L),4,129205.31,Emerald Green,Netherlands,5,0,4,2104,5,271847972.2,Luxury,4,High Range,Full,Medium
1515,Opel,Grandland Electric,2023,Nickel-metal hydride,138.2,165,Inductive (Wireless) Charging,5.7,107155.2,Ruby Red,New Zealand,3,0,4,2208,4,236598681.6,Premium,1,Low Range,Advanced,Medium
1516,Lotus,Eletre,2021,Lithium-titanate,30,474,Inductive (Wireless) Charging,8.5,60650.14,Ruby Red,Argentina,3,0,5,8880,4,538573243.2,Mid-Range,16,High Range,Advanced,High
1517,Nissan,Ariya,2023,Nickel-cobalt-aluminum,109.3,419,Battery Swapping,7,125613.57,Metallic Silver,Saudi Arabia,0,0,4,5051,3,634474142.1,Luxury,4,High Range,None,High
1518,Xpeng,P7,2015,Calcium-ion,90.6,393,CHAdeMO,5.3,76102.93,Gray,Usa,3,0,5,14733,5,1121224468,Mid-Range,4,Mid-Range,Advanced,Very High
1519,Mg,MG ES5,2019,Sodium-ion,84.9,574,Plug-in Hydrogen Refueling,4.2,120192.95,Teal,Russia,1,0,3,224,3,26923220.8,Luxury,7,High Range,Basic,Low
1520,Nio,EL7,2020,Lead-acid,122.3,312,CHAdeMO,3.8,36898.78,Red,Indonesia,2,0,4,9913,4,365777606.1,Budget,3,Mid-Range,Intermediate,High
1521,Audi,A6 e-tron (upcoming),2024,Zinc-air,81.4,251,Level 1 Charging,2.2,131763.61,Metallic Silver,Denmark,4,0,4,7647,4,1007596326,Luxury,3,Mid-Range,Full,High
1522,Canoo,Pickup,2015,Lithium-titanate,28.3,110,Ultra-Fast Charging (350 kW+),5.2,35469.82,Sapphire Blue,Poland,2,0,5,13474,3,477920354.7,Budget,4,Low Range,Intermediate,Very High
1523,Porsche,Taycan,2020,Lithium-titanate,26.3,413,Ultra-Fast Charging (350 kW+),0.8,103045.6,Bronze,China,5,0,4,2169,5,223505906.4,Premium,16,High Range,Full,Medium
1524,Great Wall Motors,ORA Ballet Cat,2022,Calcium-ion,129.8,520,Vehicle-to-Load (V2L),2.1,62728.32,Charcoal,United Arab Emirates,1,0,5,431,4,27035905.92,Mid-Range,4,High Range,Basic,Low
1525,Rimac,Nevera,2022,Lithium-iron phosphate,66,494,Plug-in Hydrogen Refueling,9.1,89057.16,Graphite Gray,Usa,3,0,5,8231,5,733029484,Premium,7,High Range,Advanced,High
1526,Nissan,Ariya,2024,Calcium-ion,101.6,380,Level 2 Charging,2.1,147910.92,White,Netherlands,2,0,3,7643,3,1130483162,Luxury,4,Mid-Range,Intermediate,High
1527,Fisker,Ocean,2020,Lead-acid,56.4,530,Level 1 Charging,5.9,131326.08,Charcoal,Japan,4,0,4,9361,5,1229343435,Luxury,9,High Range,Full,High
1528,Zeekr,Zeekr 007,2020,Zinc-air,67.5,585,CCS,8,38003.24,Brown,Portugal,5,0,3,16412,5,623709174.9,Budget,9,High Range,Full,Very High
1529,Citroen,Ami,2017,Calcium-ion,98.8,502,Plug-in Hydrogen Refueling,8.5,126717.71,Bronze,France,1,0,3,14069,3,1782791462,Luxury,5,High Range,Basic,Very High
1530,Peugeot,e-3008,2023,Nickel-cobalt-aluminum,113.1,487,Battery Swapping,2.4,80398.8,Aurora Blue,Czech Republic,1,0,3,81,4,6512302.8,Premium,4,High Range,Basic,Very Low
1531,Xpeng,G6,2024,Lithium-iron phosphate,105.4,428,DC Fast Charging (DCFC),4.8,147807.12,Matte Black,Uk,4,0,4,11855,4,1752253408,Luxury,4,High Range,Full,Very High
1532,Ferrari,Roma PHEV,2021,Zinc-air,91.3,528,Level 1 Charging,11.2,141342.13,Forest Green,Italy,1,0,4,16468,5,2327622197,Luxury,6,High Range,Basic,Very High
1533,Nissan,Leaf,2017,Lithium-iron phosphate,81.3,523,Level 2 Charging,0.9,127506.17,Stealth Gray,Vietnam,2,0,5,14680,3,1871790576,Luxury,6,High Range,Intermediate,Very High
1534,Mini,Mini Aceman,2019,Magnesium-ion,80.6,328,Mobile Charging,8.6,38472.16,Burgundy,Malaysia,2,0,3,17846,5,686574167.4,Budget,4,Mid-Range,Intermediate,Very High
1535,Gmc,Hummer EV Pickup,2022,Lithium-titanate,47.3,363,DC Fast Charging (DCFC),4.6,37776.24,Champagne,Ireland,3,0,5,12799,3,483498095.8,Budget,8,Mid-Range,Advanced,Very High
1536,Xpeng,X9,2018,Lead-acid,54.3,362,Vehicle-to-Home (V2H),5.2,93014.84,Charcoal,Germany,3,0,4,3564,3,331504889.8,Premium,7,Mid-Range,Advanced,Medium
1537,Jaguar,I-PACE,2025,Calcium-ion,63.4,145,CCS,2.3,98048.69,Burgundy,Saudi Arabia,3,0,3,16736,3,1640942876,Premium,2,Low Range,Advanced,Very High
1538,Canoo,Lifestyle Vehicle,2025,Calcium-ion,83.5,568,Plug-in Hydrogen Refueling,5,121251.01,Gun Metal,Japan,0,0,4,4808,5,582974856.1,Luxury,7,High Range,None,Medium
1539,Lamborghini,Revuelto (PHEV),2021,Lead-acid,98.9,218,Ultra-Fast Charging (350 kW+),3.7,114772.81,Lime Green,Vietnam,4,0,3,10360,3,1189046312,Premium,2,Mid-Range,Full,Very High
1540,Li Auto,MEGA,2020,Nickel-manganese-cobalt,86.4,311,Ultra-Fast Charging (350 kW+),12,52921.07,Teal,Malaysia,3,0,3,5597,5,296199228.8,Mid-Range,4,Mid-Range,Advanced,High
1541,Rivian,R1T,2020,Sodium-ion,64.2,121,Mobile Charging,5.6,138608.2,Teal,Italy,4,0,5,7295,5,1011146819,Luxury,2,Low Range,Full,High
1542,Toyota,Lexus UX 300e,2019,Lithium-sulfur,25.8,288,Inductive (Wireless) Charging,1.7,39161.99,Red,Poland,0,0,3,7432,5,291051909.7,Budget,11,Mid-Range,None,High
1543,Vinfast,VF 8,2015,Lithium-iron phosphate,72.1,327,CCS,4.2,120006.24,Platinum,Saudi Arabia,5,0,4,14627,5,1755331272,Luxury,5,Mid-Range,Full,Very High
1544,Bmw,iX,2018,Flow batteries,146.6,511,Battery Swapping,4.6,91485.37,Gold,Indonesia,4,0,4,7598,4,695105841.3,Premium,3,High Range,Full,High
1545,Renault,Kangoo E-Tech,2019,Calcium-ion,22.8,321,Inductive (Wireless) Charging,11.3,103578.72,Aurora Blue,Switzerland,4,0,4,19080,4,1976281978,Premium,14,Mid-Range,Full,Very High
1546,Byd,Dolphin,2017,Zinc-air,138.3,442,CHAdeMO,8.1,58022.57,Graphite Gray,Thailand,5,0,4,18511,3,1074055793,Mid-Range,3,High Range,Full,Very High
1547,Pininfarina,Battista,2025,Lithium-sulfur,103.5,520,Ultra-Fast Charging (350 kW+),3.1,66010.31,Beige,Argentina,3,0,5,8108,5,535211593.5,Mid-Range,5,High Range,Advanced,High
1548,Zeekr,Zeekr 007,2015,Nickel-manganese-cobalt,138.3,253,Solar Charging,9.6,131587.08,Cosmic Purple,Spain,5,0,5,11689,5,1538121378,Luxury,2,Mid-Range,Full,Very High
1549,Mazda,MX-30,2025,Nickel-manganese-cobalt,54.8,577,CCS,5.4,83034.41,Pink,Usa,1,0,4,18498,5,1535970516,Premium,11,High Range,Basic,Very High
1550,Audi,Q4 e-tron,2016,Lithium-iron phosphate,122.4,253,Battery Swapping,8.2,76392.48,Blue,Israel,4,0,4,9430,3,720381086.4,Mid-Range,2,Mid-Range,Full,High
1551,Peugeot,e-2008,2024,Magnesium-ion,113.5,164,Plug-in Hydrogen Refueling,3.8,106430.63,Forest Green,Denmark,0,0,5,11399,5,1213202751,Premium,1,Low Range,None,Very High
1552,Nissan,Ariya,2017,Solid-state,92.5,196,Vehicle-to-Grid (V2G),4.8,85161.56,Gun Metal,India,3,0,4,4572,4,389358652.3,Premium,2,Low Range,Advanced,Medium
1553,Peugeot,e-5008,2018,Lithium-sulfur,42.6,586,Level 2 Charging,2,131883.56,Gray,Italy,1,0,3,2371,3,312695920.8,Luxury,14,High Range,Basic,Medium
1554,Renault,Kangoo E-Tech,2021,Lead-acid,48.7,315,Vehicle-to-Load (V2L),4.6,118844.33,Yellow,New Zealand,4,0,4,9046,4,1075065809,Premium,6,Mid-Range,Full,High
